term1,term2,score
milk,dairy,0.864406779661017
cereal,bran,0.864406779661017
lizard,frog,0.864406779661017
beagle,rabbit,0.864406779661017
microbiome-dependent,microbiome-derived,0.864406779661017
sows,cattle,0.864406779661017
vagina,ovary,0.8636363636363636
glucose,dextrose,0.8636363636363636
bird,canaries,0.8636363636363636
gallbladder,bile,0.8636363636363636
primate,gorillas,0.8636363636363636
cecum,ileum,0.8636363636363636
intestine,gastro-intestine,0.8636363636363636
allergy,intolerance,0.8636363636363636
nose,forehead,0.8636363636363636
turtle,frog,0.8636363636363636
lemurs,gorilla,0.8636363636363636
vine,tree,0.8636363636363636
jackal,leopard,0.8636363636363636
ovo,ova,0.8636363636363636
parvovirus,papillomavirus,0.8636363636363636
salmon,tilapia,0.8636363636363636
soil,earth,0.8620689655172413
mesocricetus,vole,0.8620689655172413
coffee,beverage,0.8620689655172413
tobacco,cigarettes,0.8620689655172413
sebum,skin,0.8620689655172413
midgut,foregut,0.8620689655172413
koala,monkey,0.8620689655172413
milk,whey,0.8620689655172413
hiv-infected,hiv,0.8620689655172413
stomach,intestine,0.8620689655172413
clindamycin,streptomycin,0.8620689655172413
poultry,farm,0.8620689655172413
vole,rabbit,0.8620689655172413
wellness,healing,0.8620689655172413
meat,beef,0.8620689655172413
leopard,bear,0.8620689655172413
mucosa,dermis,0.8620689655172413
mammal,vertebrate,0.8604651162790697
tanzania,colombia,0.8604651162790697
virus-induced,herpesvirus,0.8604651162790697
hyperlipidemia,hypertension,0.8604651162790697
fiber-derived,high-fiber,0.8604651162790697
mushroom,ganoderma,0.8604651162790697
lupus,rheumatism,0.8604651162790697
bonobo,koala,0.8604651162790697
cipro,ceftazidime,0.8604651162790697
tree,woodland,0.8604651162790697
depressive,mental,0.8604651162790697
sensitivity,allergy,0.8604651162790697
gut-microbiota,microbiome-wide,0.8604651162790697
legume,bean,0.8604651162790697
wheat,whole-grain,0.8604651162790697
high-fibre,whole-grain,0.8604651162790697
cefoperazone,aztreonam,0.8604651162790697
bat,frog,0.8604651162790697
coral,coral reef,0.8604651162790697
marine,aquatic,0.8604651162790697
wheat,legume,0.8604651162790697
adult,young,0.8604651162790697
cheetahs,gorilla,0.8604651162790697
coronary,cardiac,0.8604651162790697
hepatitis,nephropathy,0.8604651162790697
interferon-stimulated,cytokines,0.8604651162790697
esophagus,stomach,0.8596491228070176
anaerobic,aerobic,0.8596491228070176
coral,reef,0.8596491228070176
microbiota-associated,microbiome-wide,0.8596491228070176
chimp,capuchins,0.8596491228070176
pig,goat,0.8596491228070176
primate,mammal,0.8596491228070176
gorillas,squirrels,0.8596491228070176
ceftriaxone,cefoperazone,0.8596491228070176
gut-microbiota,gut-liver,0.8596491228070176
herbivore,frugivore,0.8596491228070176
menstruation,puberty,0.8596491228070176
elderly,middle-aged,0.8596491228070176
neoplasia,tumour,0.8571428571428571
leopard,cheetah,0.8571428571428571
grass,shrub,0.8571428571428571
glycans,oligosaccharide,0.8571428571428571
miicrobiota,microbiota-based,0.8571428571428571
lymph,uri,0.8571428571428571
suburb,village,0.8571428571428571
beetle,insect,0.8571428571428571
fifteenth,fifth,0.8571428571428571
goat,rabbit,0.8571428571428571
pine,conifer,0.8571428571428571
kombucha,fermented food,0.8571428571428571
recto-anal,recto,0.8571428571428571
inflammatory bowel disease,enterocolitis,0.8571428571428571
bird,bee,0.8571428571428571
dairy,yogurt,0.8571428571428571
steatosis,cirrhosis,0.8571428571428571
midgut,small-intestine,0.8571428571428571
microbiome-derived,microbiota-based,0.8571428571428571
microbiota-associated,gut-microbiome,0.8571428571428571
steatohepatitis,cirrhosis,0.8571428571428571
pea,bean,0.8571428571428571
bifidobacteria,faecalibacteria,0.8571428571428571
reef,coral reef,0.8571428571428571
ceftriaxone,ampicilin,0.8571428571428571
shrubland,savanna,0.8571428571428571
fibromyalgia,myalgic,0.8571428571428571
ghana,zimbabwe,0.8571428571428571
bird,duck,0.8571428571428571
esophagus,pharynx,0.855072463768116
turtle,reptile,0.8545454545454545
gerbil,beagle,0.8545454545454545
tanzania,zimbabwe,0.8545454545454545
calcite,limestone,0.8545454545454545
psoriasis,psoriatic,0.8545454545454545
fish,tilapia,0.8545454545454545
microcosm,mesocosm,0.8545454545454545
maize,wheat,0.8536585365853658
legume,soy,0.8536585365853658
immune-mediated,immunologic,0.8536585365853658
farm,plantation,0.8536585365853658
saccharide,disaccharide,0.8536585365853658
streptomycin-treated,ampicillin-treated,0.8536585365853658
colorectal,crohn`s,0.8536585365853658
stress,anxiety,0.8536585365853658
rooms,house,0.8536585365853658
gems,garnet,0.8536585365853658
mycobiota,microbiome-wide,0.8536585365853658
duck,chicken,0.8518518518518519
diarrhoea,gastro-intestine,0.8518518518518519
microbiota-dependent,microbiota-liver,0.8518518518518519
esophagus,rectum,0.8518518518518519
microbiome-based,microbiome-wide,0.8518518518518519
lesion,tumour,0.8518518518518519
apoptosis,tumorigenesis,0.8518518518518519
horse,calf,0.8518518518518519
beef,ham,0.8518518518518519
beetle,bugs,0.8518518518518519
production,manufacturing,0.8518518518518519
rat,mouse,0.8507462686567164
lemurs,monkey,0.85
age-related,age-dependent,0.85
terrestrial,terresterial,0.85
carnivore,insectivore,0.85
immunogenicity,immunologic,0.85
reproduction,reproductive-age,0.85
atherosclerosis,arthritis,0.85
cecum,rumen,0.85
ceftazidime,amoxicillin,0.85
peritoneum,abdomen,0.85
herpesvirus,papillomavirus,0.8490566037735849
ectoparasites,helminth,0.8490566037735849
osteoarthritis,rheumatism,0.8490566037735849
watercourse,river,0.8490566037735849
